Region,Location_Name,,
Turner River,1-1,,
Turner River,1-2,,
Turner River,1-3,,
Turner River,1-4,,
Turner River,2-1,,
Turner River,2-2,,
Turner River,2-3,,
Turner River,2-4,,
Turner River,3-1,,
Turner River,3-2,,
Turner River,3-3,,
Turner River,3-4,,
Turner River,4-1,,
Turner River,4-2,,
Turner River,4-3,,
Turner River,4-4,,
Turner River,5-1,,
Turner River,5-2,,
Turner River,5-3,,
Turner River,5-4,,
Shark Slough,6-1,,
Shark Slough,6-2,,
Shark Slough,6-3,,
Shark Slough,6-4,,
Shark Slough,7-1,,
Shark Slough,7-2,,
Shark Slough,7-3,,
Shark Slough,7-4,,
Shark Slough,8-1,,
Shark Slough,8-2,,
Shark Slough,8-3,,
Shark Slough,8-4,,
Shark Slough,9-1,,
Shark Slough,9-2,,
Shark Slough,9-3,,
Shark Slough,9-4,,
Taylor Slough,10-1,,
Taylor Slough,10-2,,
Taylor Slough,10-3,,
Taylor Slough,10-4,,
Taylor Slough,11-1,,
Taylor Slough,11-2,,
Taylor Slough,11-3,,
Taylor Slough,11-4,,
Taylor Slough,12-1,,
Taylor Slough,12-2,,
Taylor Slough,12-3,,
Taylor Slough,12-4,,
Taylor Slough,13-1,,
Taylor Slough,13-2,,
Taylor Slough,13-3,,
Taylor Slough,13-4,,
Taylor Slough,14-1,,
Taylor Slough,14-2,,
Taylor Slough,14-3,,
Taylor Slough,14-4,,
